WKT,id,name,lat,long
"POINT (117.3616476 -8.6529334)",52.0,NUSA TENGGARA BARAT,-8.6529334,117.3616476
"POINT (121.0793705 -8.6573819)",53.0,NUSA TENGGARA TIMUR,-8.6573819,121.0793705
"POINT (130.1452734 -3.2384616)",81.0,MALUKU,-3.2384616,130.1452734
"POINT (127.8087693 1.5709993)",82.0,MALUKU UTARA,1.5709993,127.8087693
"POINT (133.1747162 -1.3361154)",91.0,PAPUA BARAT,-1.3361154,133.1747162
"POINT (138.0803529 -4.269928)",94.0,PAPUA,-4.269928,138.0803529
