WKT,id,name,lat,long
"POINT (106.84517199999999 -6.211544)",31.0,DKI JAKARTA,-6.211544,106.84517199999999
"POINT (107.66888700000001 -7.090911)",32.0,JAWA BARAT,-7.090911,107.66888700000001
"POINT (110.1402594 -7.150975)",33.0,JAWA TENGAH,-7.150975,110.1402594
"POINT (110.4262088 -7.8753849)",34.0,DI YOGYAKARTA,-7.8753849,110.4262088
"POINT (112.2384017 -7.536063900000001)",35.0,JAWA TIMUR,-7.536063900000001,112.2384017
"POINT (106.0640179 -6.4058171999999995)",36.0,BANTEN,-6.4058171999999995,106.0640179
"POINT (115.18891599999999 -8.409517800000001)",51.0,BALI,-8.409517800000001,115.18891599999999
